account_id,party_id,product_type,open_date,close_date,status,updated_at
A000000,P000000,SAVINGS,2020-04-10,2023-10-19,CLOSED,2026-01-15T00:00:00
A000001,P000001,TRANSACTION,2025-08-30,,OPEN,2026-01-15T00:00:00
A000002,P000001,TRANSACTION,2019-07-15,,OPEN,2026-01-15T00:00:00
A000003,P000002,HOME_LOAN,2025-08-30,,OPEN,2026-01-15T00:00:00
A000004,P000002,TERM_DEPOSIT,2018-08-01,,OPEN,2026-01-15T00:00:00
A000005,P000003,TRANSACTION,2024-02-09,,OPEN,2026-01-15T00:00:00
A000006,P000004,TRANSACTION,2020-08-15,,DORMANT,2026-01-15T00:00:00
A000007,P000004,TERM_DEPOSIT,2022-04-20,,OPEN,2026-01-15T00:00:00
A000008,P000005,TRANSACTION,2019-06-11,,OPEN,2026-01-15T00:00:00
A000009,P000006,SAVINGS,2023-03-17,,OPEN,2026-01-15T00:00:00
A000010,P000007,SAVINGS,2024-09-02,,OPEN,2026-01-15T00:00:00
A000011,P000007,CREDIT_CARD,2016-02-20,,DORMANT,2026-01-15T00:00:00
A000012,P000007,TRANSACTION,2020-09-25,,OPEN,2026-01-15T00:00:00
A000013,P000008,CREDIT_CARD,2018-04-09,,OPEN,2026-01-15T00:00:00
A000014,P000009,HOME_LOAN,2016-04-01,,OPEN,2026-01-15T00:00:00
A000015,P000009,CREDIT_CARD,2023-01-01,,DORMANT,2026-01-15T00:00:00
A000016,P000010,CREDIT_CARD,2019-02-10,,OPEN,2026-01-15T00:00:00
A000017,P000011,TRANSACTION,2020-07-11,,OPEN,2026-01-15T00:00:00
A000018,P000012,CREDIT_CARD,2016-08-18,,OPEN,2026-01-15T00:00:00
A000019,P000013,TRANSACTION,2017-11-18,,DORMANT,2026-01-15T00:00:00
A000020,P000013,SAVINGS,2020-12-25,,OPEN,2026-01-15T00:00:00
A000021,P000014,TRANSACTION,2022-12-22,2026-01-15,CLOSED,2026-01-15T09:00:00
A000022,P000015,CREDIT_CARD,2017-10-27,,OPEN,2026-01-15T00:00:00
A000023,P000015,TRANSACTION,2022-02-09,,OPEN,2026-01-15T00:00:00
A000024,P000016,SAVINGS,2022-12-14,,OPEN,2026-01-15T00:00:00
A000025,P000017,TRANSACTION,2017-12-19,,OPEN,2026-01-15T00:00:00
A000026,P000017,TRANSACTION,2023-01-02,,OPEN,2026-01-15T00:00:00
A000027,P000018,TRANSACTION,2020-11-13,,OPEN,2026-01-15T00:00:00
A000028,P000018,SAVINGS,2019-04-03,,OPEN,2026-01-15T00:00:00
A000029,P000019,SAVINGS,2025-08-17,,OPEN,2026-01-15T00:00:00
A000030,P000020,TRANSACTION,2022-08-27,,OPEN,2026-01-15T00:00:00
A000031,P000021,SAVINGS,2022-07-02,,OPEN,2026-01-15T00:00:00
A000032,P000021,TRANSACTION,2022-08-12,,OPEN,2026-01-15T00:00:00
A000033,P000022,TRANSACTION,2019-02-08,,OPEN,2026-01-15T00:00:00
A000034,P000022,TRANSACTION,2018-10-11,,OPEN,2026-01-15T00:00:00
A000035,P000023,SAVINGS,2024-04-03,,OPEN,2026-01-15T00:00:00
A000036,P000023,TRANSACTION,2017-10-31,,OPEN,2026-01-15T00:00:00
A000037,P000024,SAVINGS,2020-07-27,,OPEN,2026-01-15T00:00:00
A000038,P000024,TRANSACTION,2022-01-22,,OPEN,2026-01-15T00:00:00
